ID,Response Round,Questionnaire Version,Group,Myocardial InfarctionA,Myocardial InfarctionB,Chronic Fatigue SyndromeA,Chronic Fatigue SyndromeB,BaldnessA,BaldnessB,Lack of Sexual DesireA,Lack of Sexual DesireB,AlcoholismA,AlcoholismB,Premenstrual SyndromeA,Premenstrual SyndromeB,Panic DisorderA,Panic DisorderB,AnorexiaA,AnorexiaB,GriefA,GriefB,DeafnessA,DeafnessB,Erectile DysfunctionA,Erectile DysfunctionB,Motivational Deficiency DisorderA,Motivational Deficiency DisorderB,OsteoporosisA,OsteoporosisB,Gambling AddictionA,Gambling AddictionB,Tension HeadacheA,Tension HeadacheB,Work ExhaustionA,Work ExhaustionB,HIVAIDSA,HIVAIDSB,InfertilityA,InfertilityB,ADHDA,ADHDB,Prostate CancerA,Prostate CancerB,PneumoniaA,PneumoniaB,InsomniaA,InsomniaB,ObesityA,ObesityB,Drug AddictionA,Drug AddictionB,Male MenopauseA,Male MenopauseB,AgeingA,AgeingB,TranssexualismA,TranssexualismB,Alcoholic Liver CirrhosisA,Alcoholic Liver CirrhosisB,SchizophreniaA,SchizophreniaB,Restless Legs SyndromeA,Restless Legs SyndromeA,Age Related Muscle LossA,Age Related Muscle LossB,Adult Onset DiabetesA,Adult Onset DiabetesB,SmokingA,SmokingB,AutismA,AutismB,Nighttime VoidingA,Nighttime VoidingB,BulimiaA,BulimiaB,Generalized Anxiety DisorderA,Generalized Anxiety DisorderB,SleepApneaA,SleepApneaB,WrinklesA,WrinklesB,Elevated CholesterolA,Elevated CholesterolB,BreastCancerA,BreastCancerB,FibromyalgiaA,FibromyalgiaB,Elevated Blood PressureA,Elevated Blood PressureB,Dental CariesA,Dental CariesB,LungCancerA,LungCancerB,Female MenopauseA,Female MenopauseB,MalnutritionA,MalnutritionB,Irritable Bowel SyndromeA,Irritable Bowel SyndromeB,HomosexualityA,HomosexualityB,Refractive ErrorA,Refractive ErrorB,Lactose IntoleranceA,Lactose IntoleranceB,Down SyndromeA,Down SyndromeB,Personality DisorderA,Personality DisorderA,Overactive BladderA,Overactive BladderB,DepressionA,DepressionB,Juvenile DiabetesA,Juvenile DiabetesB,MalariaA,MalariaB,Social Anxiety DisorderA,Social Anxiety DisorderB,Premature EjaculationA,Premature EjaculationB,Hip FractureA,Hip FractureB,Excluded_Included
1020,1,1,1,5,5,3,3,1,1,1,1,2,2,1,3,3,4,2,3,1,4,3,5,4,4,1,1,5,5,1,1,1,4,1,3,4,4,2,4,3,4,5,5,5,5,3,3,2,2,1,2,2,5,1,1,1,1,2,2,5,4,3,4,1,4,4,3,1,1,3,5,4,4,1,2,2,4,4,4,1,1,3,4,1,5,4,4,4,4,2,4,5,4,1,4,1,3,4,4,1,1,1,2,3,4,3,3,1,4,4,4,4,4,5,5,4,4,1,3,1,3,1,4,1
1021,1,1,1,5,5,5,5,1,1,3,3,4,4,4,4,5,5,5,5,1,3,5,5,5,5,3,3,5,5,3,4,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,1,5,1,5,1,4,5,5,5,5,5,5,1,4,5,5,1,4,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,3,5,5,5,1,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
1023,2,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,3,3,1,1,1,1,1,1,5,5,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,1,1,3,3,1,1,3,3,3,3,1,1,1,1,4,5,1,1,3,5,5,5,1,1,1,1,5,5,5,5,1,1,1,4,1,1,1,1,4,4,1,1,3,3,3,3,5,5,1,1,4,5,5,5,1,1,1,1,5,5,1
1025,1,1,1,5,5,3,3,1,1,2,2,4,4,3,3,4,4,4,4,1,1,3,3,2,2,1,1,4,4,2,2,2,2,4,4,4,4,1,1,2,2,5,5,5,5,3,3,2,2,1,4,1,1,1,1,1,1,5,4,5,5,3,3,2,2,5,4,1,1,4,4,1,1,3,3,3,3,4,4,1,1,4,4,5,5,4,4,5,4,1,2,5,5,1,1,4,4,4,4,1,1,2,2,4,2,4,3,2,2,3,3,4,4,5,5,5,4,2,2,3,3,5,5,1
1031,3,1,1,5,5,1,3,1,1,1,2,5,4,2,2,4,5,5,5,1,2,3,4,2,2,1,2,5,5,3,2,4,3,3,4,5,5,1,1,2,3,5,5,5,5,2,2,2,2,2,4,2,2,1,1,1,1,5,4,5,4,2,3,3,3,4,4,1,1,3,2,1,2,5,4,3,3,3,3,1,1,2,5,5,5,5,5,4,4,1,3,5,5,1,4,1,3,2,3,1,1,3,3,4,3,1,1,1,3,3,3,3,4,4,5,5,5,3,4,1,1,5,5,1
1032,1,1,1,4,5,4,5,4,5,4,4,4,5,4,4,5,5,5,5,1,1,5,5,4,4,4,4,5,5,4,4,3,3,4,5,5,4,5,3,5,5,5,5,5,5,4,4,4,4,4,4,4,4,1,1,3,3,4,4,5,5,4,4,4,4,4,4,1,1,5,5,5,5,5,5,5,5,5,5,1,1,3,5,5,5,5,5,4,5,2,5,5,5,4,5,4,5,4,5,2,2,4,5,4,5,5,5,4,5,4,5,5,5,4,5,3,4,4,5,3,3,3,5,1
1035,1,1,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,3,3,5,3,5,5,1,5,1,1,5,1,5,5,5,3,5,5,5,5,1,1,5,5,3,3,5,1,5,3,5,3,1,1,5,3,5,5,5,5,5,5,2,4,5,5,1,3,1,5,5,3,1,5,5,5,5,3,5,5,5,5,5,3,5,3,5,3,5,5,5,3,2,2,5,5,1
1040,1,1,1,4,4,3,3,1,1,4,3,5,1,1,4,2,3,2,1,1,1,5,5,4,4,1,1,5,4,1,1,1,3,1,1,4,4,3,5,2,4,5,4,5,4,2,3,1,2,1,1,2,2,1,1,4,3,1,1,3,4,2,3,1,1,3,4,2,1,2,2,3,2,3,2,1,1,2,3,1,1,2,2,5,5,4,4,3,3,1,3,5,3,1,4,2,2,2,2,1,1,5,4,5,4,3,3,3,2,2,3,3,2,4,4,4,2,3,2,1,3,5,5,1
1042,1,1,1,5,5,3,3,5,2,3,2,5,1,5,1,5,1,5,3,1,1,5,5,3,3,1,1,5,4,4,1,3,1,5,3,5,3,5,1,5,5,5,5,5,5,2,1,1,1,1,1,5,3,1,1,1,1,5,1,5,5,3,1,1,1,5,1,1,1,5,5,5,5,5,3,1,1,5,3,1,1,5,1,5,5,5,5,5,5,5,1,5,3,1,3,1,1,5,3,1,1,5,3,5,3,5,5,5,5,5,3,5,3,5,5,5,5,1,3,1,1,5,5,1
1043,3,1,1,5,5,5,5,5,5,5,5,2,2,4,4,5,5,5,5,3,3,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,2,2,3,3,5,5,5,5,5,5,3,3,1,1,3,3,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,3,3,5,5,3,3,5,5,5,5,5,5,5,5,5,5,1
1044,2,1,1,5,5,5,5,2,2,2,2,4,4,2,2,5,5,5,5,2,2,5,5,2,2,3,4,5,5,2,1,3,3,3,3,3,3,1,3,5,5,5,5,5,5,5,5,3,3,3,3,2,2,1,1,1,3,1,4,5,5,1,1,1,3,5,5,1,1,5,5,3,3,5,5,5,5,5,5,1,1,1,4,5,5,5,5,5,5,3,3,5,5,3,3,2,3,5,5,3,3,3,3,3,3,5,5,5,5,3,4,5,5,5,5,5,5,4,4,2,2,5,5,1
1046,1,1,1,5,5,3,3,1,1,3,3,5,5,,,5,5,3,3,2,4,1,5,3,4,4,4,5,5,2,3,2,3,4,4,5,5,1,3,5,5,5,5,5,5,5,5,2,3,1,3,3,3,1,1,2,2,5,5,5,5,4,5,3,3,3,4,1,1,5,5,2,4,3,4,2,4,5,5,2,2,4,4,5,5,5,5,5,5,4,4,5,5,1,3,2,4,5,5,4,1,2,3,5,5,1,5,5,5,3,3,5,5,4,5,5,5,5,5,1,4,1,5,1
1047,1,1,1,5,5,4,4,1,1,1,1,3,3,1,1,4,4,5,5,1,1,5,5,1,1,1,1,4,4,1,1,,,3,3,5,2,1,1,2,2,5,5,5,5,3,3,1,1,3,3,1,1,1,1,2,1,5,5,5,5,3,3,1,1,5,5,1,1,4,3,3,3,3,3,3,3,5,4,1,1,1,1,5,5,4,4,4,4,3,3,5,5,1,1,1,1,3,3,1,1,4,1,2,1,5,5,3,3,5,5,5,5,5,5,4,2,3,3,2,1,5,5,1
1054,1,1,1,5,5,3,2,2,1,1,1,4,4,3,3,4,4,5,5,1,1,3,3,4,4,1,1,5,5,3,1,3,4,5,5,5,5,5,5,4,4,5,5,5,5,3,3,2,2,1,2,3,3,1,1,2,1,1,3,5,5,4,4,4,4,5,5,1,1,4,4,4,5,5,5,4,4,4,5,1,1,3,5,5,5,3,4,5,5,1,5,4,4,1,3,1,3,4,5,1,1,3,4,2,2,2,4,2,3,3,4,4,5,5,5,4,5,2,2,1,2,1,4,1
1057,1,1,1,5,3,3,1,1,1,3,1,5,2,1,1,4,2,1,1,1,1,5,4,2,1,4,1,5,4,1,1,5,2,2,3,5,1,5,1,3,2,5,1,5,2,4,3,1,1,3,2,1,1,1,1,4,1,5,1,5,4,4,4,5,4,4,3,1,1,5,4,5,2,3,1,4,3,4,2,1,1,4,2,5,2,5,1,4,2,1,1,5,3,1,1,1,1,3,3,5,1,2,1,2,1,4,2,4,1,4,1,5,3,5,4,3,1,4,1,1,1,3,2,1
1058,2,1,1,5,5,5,5,2,2,2,2,3,3,3,3,4,4,2,2,3,1,5,5,2,3,2,2,5,5,2,1,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,3,3,3,3,3,3,2,2,1,1,3,3,4,3,5,5,5,5,5,5,1,1,5,5,5,5,3,3,3,3,5,5,1,1,5,5,5,5,5,5,5,5,3,4,5,5,4,3,3,3,5,5,1,1,2,2,3,3,5,5,2,2,5,5,3,3,5,5,5,5,3,3,1,1,5,5,1
1059,1,1,1,5,5,5,5,5,1,3,3,3,4,1,3,5,5,5,5,1,3,5,5,3,3,1,1,5,5,3,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,3,2,3,4,1,1,1,1,3,1,5,5,5,5,5,5,2,4,5,5,1,1,5,5,1,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,3,3,5,5,1,5,5,5,5,5,3,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,4,5,5,1
1060,1,1,1,5,5,4,3,3,1,2,1,4,4,3,1,5,5,5,5,1,1,5,5,5,5,1,1,5,5,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,1,4,4,3,3,1,1,1,1,1,3,5,5,5,5,1,3,5,5,1,1,5,5,5,5,5,5,3,2,5,5,1,1,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,3,3,5,5,3,3,5,5,5,5,1,1,3,1,5,5,1
1061,1,1,1,4,4,3,3,1,1,1,1,2,1,1,1,3,3,3,3,1,1,3,5,1,1,1,1,3,3,1,1,1,1,1,2,1,1,1,1,4,4,4,4,5,5,3,3,1,1,3,3,1,1,1,3,3,3,2,1,5,4,3,3,4,4,2,1,1,1,5,5,3,3,4,4,2,2,3,3,1,1,1,1,4,4,5,5,1,1,1,3,3,2,1,1,1,3,1,1,1,1,1,1,3,3,4,1,4,3,3,4,2,3,5,5,5,5,3,2,1,1,4,4,1
1062,1,1,1,5,5,2,2,1,1,1,1,3,3,3,3,4,4,5,5,1,1,5,5,2,2,1,1,5,5,3,3,4,4,4,4,5,5,,,4,4,5,5,5,5,2,2,5,5,3,3,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,2,2,5,5,3,3,5,5,4,4,5,5,1,1,3,3,5,5,2,2,4,4,5,5,5,5,1,2,5,5,4,4,1,1,1,1,5,5,5,5,2,2,4,4,5,5,5,5,5,5,3,3,1,1,5,5,1
1063,1,1,1,5,3,5,3,2,1,2,1,3,1,2,1,3,2,3,2,1,1,2,4,3,1,1,1,5,4,1,1,1,1,4,4,4,4,5,5,5,5,5,5,5,5,1,1,4,3,1,2,1,1,1,4,1,1,5,2,5,5,2,2,4,4,5,5,1,1,4,4,1,1,2,2,2,2,2,2,1,1,4,3,5,5,2,2,4,4,1,1,5,5,1,1,1,1,5,5,1,1,2,3,4,4,1,1,4,5,2,2,4,4,5,5,5,1,1,1,1,1,1,1,1
1064,1,1,1,5,5,5,4,4,1,4,2,5,2,3,2,5,5,5,5,1,2,5,3,4,4,,,5,5,3,2,3,3,3,2,5,4,4,4,5,4,5,4,5,5,4,4,3,2,3,2,,2,1,1,1,1,2,2,5,5,4,3,2,2,3,4,1,1,5,5,3,3,5,4,3,4,4,4,1,1,,2,5,5,4,5,2,3,1,4,5,5,3,2,4,3,4,4,1,1,1,1,4,3,5,5,4,4,3,3,3,3,3,4,5,5,2,3,2,2,5,5,1
1065,1,1,1,5,5,4,3,1,2,4,2,4,4,4,2,4,4,4,4,1,1,2,2,4,2,2,3,3,4,2,1,4,3,4,3,5,4,5,2,5,3,5,5,5,5,3,2,3,2,5,3,4,2,1,1,1,1,5,5,5,4,3,2,5,4,5,4,1,1,4,4,2,1,4,4,4,4,4,3,1,1,5,4,5,5,4,4,5,4,1,5,5,5,4,2,3,1,3,2,1,1,1,1,2,1,4,4,4,4,2,1,5,4,5,4,5,3,1,1,1,1,3,4,1
1066,2,1,1,1,5,3,4,1,1,1,1,3,3,1,2,4,4,3,4,1,,3,4,3,3,1,1,4,4,3,3,3,3,2,2,1,1,4,4,3,3,5,5,5,5,3,3,1,3,1,3,1,1,1,1,1,1,3,3,3,3,2,3,4,4,4,4,1,3,3,3,1,3,1,1,3,3,3,3,1,1,3,3,5,5,3,3,4,4,1,3,4,4,2,3,1,3,3,3,1,1,3,3,3,3,5,5,3,2,3,3,4,4,2,2,4,4,3,3,1,2,1,5,1
1067,1,1,1,5,5,4,4,4,3,1,2,5,3,3,3,4,3,4,4,1,2,5,5,1,2,2,2,3,3,4,3,4,3,3,4,5,5,4,3,3,3,5,5,5,5,3,3,2,2,4,3,1,2,1,2,1,1,4,4,5,5,3,3,4,3,3,3,2,1,5,5,3,2,4,3,3,3,4,3,1,1,3,,5,5,5,5,4,3,2,4,5,5,1,2,1,2,4,4,1,1,2,3,4,3,5,5,3,3,4,3,4,3,5,5,5,5,4,3,1,2,5,5,1
1071,1,1,1,5,5,2,2,1,1,2,2,2,4,3,4,4,4,2,4,2,1,5,5,3,3,1,1,5,5,2,4,4,4,3,4,5,5,2,2,4,4,5,5,5,5,3,4,1,1,2,5,2,1,1,1,1,1,5,2,4,4,2,2,1,2,5,3,1,1,5,4,3,3,2,4,2,4,4,4,1,1,2,2,5,5,3,3,2,2,4,5,5,5,1,2,2,5,3,3,1,1,4,4,3,2,5,4,4,4,4,4,2,4,5,5,5,5,2,2,1,1,5,5,1
1072,2,1,1,5,5,4,4,2,1,3,2,5,4,3,3,5,4,5,5,2,2,3,3,4,3,3,2,4,4,4,3,4,4,5,4,5,4,4,4,4,5,5,5,5,5,4,4,2,3,4,4,3,3,1,1,2,1,4,4,5,5,5,4,4,4,5,5,1,1,5,4,4,4,5,5,4,4,4,4,2,1,4,5,5,5,4,4,5,5,4,5,5,5,2,3,3,4,3,4,1,1,1,2,2,2,2,2,4,4,4,4,4,4,5,5,5,5,3,3,2,3,3,5,1
1073,1,1,1,5,5,4,4,2,2,2,2,3,3,3,3,3,3,3,3,2,2,4,4,3,3,2,2,3,3,2,2,4,4,3,3,2,2,2,2,2,2,5,5,5,5,3,3,3,3,2,2,2,2,1,2,2,2,3,3,4,4,2,2,2,2,5,5,1,1,4,4,1,1,2,2,3,3,4,4,1,2,4,4,5,5,4,4,4,4,1,1,5,5,1,1,3,3,5,5,1,1,1,1,3,3,4,4,4,4,2,2,4,4,5,5,5,5,3,3,2,1,5,5,1
1079,1,1,1,4,5,3,3,4,4,4,4,4,4,4,4,5,5,5,5,1,1,5,5,4,4,3,3,5,5,2,2,4,4,4,4,4,4,3,3,4,4,5,5,5,5,2,2,2,2,2,2,4,4,1,1,4,3,2,2,5,5,5,5,5,5,4,4,1,1,5,5,4,4,4,4,3,3,2,2,1,1,2,2,5,5,5,5,2,2,2,2,5,5,4,4,2,2,4,4,2,2,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,5,3,3,3,3,5,5,1
1080,1,1,1,5,5,3,3,5,3,2,3,3,3,2,2,5,4,5,5,3,3,5,5,5,5,3,3,5,5,1,1,4,5,3,3,3,3,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,5,1,1,3,3,3,3,5,5,4,4,5,4,4,4,3,3,5,4,5,4,5,5,,,5,5,3,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,3,3,4,4,3,3,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,4,5,5,5,5,5,1
1081,1,1,1,5,5,3,3,1,1,2,1,3,3,3,3,5,5,5,5,1,3,5,5,2,1,2,1,5,5,3,3,4,4,4,4,5,5,2,2,4,4,5,5,5,5,3,3,1,1,1,1,2,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1,1,5,5,4,4,4,4,3,3,4,4,1,1,3,3,5,5,5,5,5,5,5,5,5,5,3,3,2,4,5,5,1,1,5,5,3,2,5,5,3,3,2,2,4,4,5,5,5,5,3,3,1,1,5,5,1
1082,1,1,1,5,5,5,5,5,5,4,5,1,1,5,5,5,5,3,4,5,5,5,5,4,4,4,4,5,5,1,1,5,5,5,5,1,1,4,4,5,5,5,5,5,5,1,1,3,3,1,1,4,5,5,5,3,4,1,1,5,5,5,5,5,5,5,5,1,1,4,5,5,5,3,4,4,5,5,5,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,4,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,3,4,3,4,3,5,5,5,1
1085,1,1,1,5,5,3,3,2,1,1,1,4,4,4,4,4,3,2,2,1,1,4,4,1,1,1,1,4,4,2,1,3,2,4,4,3,3,3,3,2,2,5,5,4,4,2,2,1,1,3,3,3,3,1,2,1,1,2,2,3,3,3,3,4,4,5,5,1,1,5,5,1,1,2,2,2,2,2,3,1,1,4,4,5,5,4,4,4,4,1,4,5,5,4,4,2,2,2,2,1,1,5,5,3,3,5,5,3,3,4,4,2,2,5,5,5,5,2,2,1,1,4,4,1
1093,1,1,1,5,5,5,5,3,3,3,3,5,5,2,2,5,5,5,5,1,1,5,5,4,3,1,1,5,5,3,2,2,3,4,3,5,5,5,5,4,4,5,5,5,5,3,5,2,3,5,5,1,1,1,1,1,1,5,5,5,5,3,4,5,5,5,5,1,1,5,5,5,5,5,5,3,2,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,3,3,5,5,1,1,5,5,5,5,1,3,1,1,5,5,5,5,5,5,5,5,2,4,2,3,5,5,1
1094,1,1,1,5,5,3,3,1,1,2,2,3,3,4,4,4,4,4,2,1,1,5,5,4,4,4,4,5,5,4,1,2,2,1,1,4,4,4,4,4,4,4,4,4,4,3,2,1,1,3,1,3,3,1,5,1,1,4,4,4,4,4,4,4,4,5,5,1,1,4,4,2,2,2,2,2,2,2,2,1,1,2,2,5,5,4,4,3,3,1,4,,5,3,3,1,1,3,3,1,1,4,3,4,4,5,4,4,4,3,3,2,2,5,5,5,5,3,3,1,1,3,4,1
1095,2,1,1,4,5,3,3,4,4,2,2,3,3,3,3,4,3,3,3,3,3,4,4,2,2,,,4,4,2,2,2,2,4,4,5,5,3,3,3,4,5,5,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,5,4,3,3,3,3,4,4,3,3,5,5,3,3,3,3,3,3,3,3,3,3,2,3,5,5,,,4,4,1,3,4,5,4,4,3,3,1,,1,1,4,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,,,1,3,5,5,1
